fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
07/02/25,timer corregido de comando,null,null,null,villa elisa,null,null,null,null,null,null,null,null
07/02/25,colocacion de lampara,uriarte,null,uriarte y tucuman,villa elisa,lamparas 100w,1,null,null,null,null,null,null
07/02/25,colocacion de lampara,hipolito irigoyen,null,null,malvinas,lamparas 100w,1,null,null,null,null,null,null
07/02/25,colocacion de lampara,godoy cruz,null,entre saavedra e inmigrantes,102 viviendas,lamparas 100w,2,null,null,null,null,null,null
07/02/25,colocacion de lampara,null,null,pasaje junto a las vias ,libertad,lamparas 100w,1,null,null,null,null,null,null
07/02/25,colocacion de lampara,dorrego,null,entre san martin y libertad,null,lamparas 100w,1,null,null,null,null,null,null
07/02/25,colocacion de lampara,jesus fernandez,null,frente a la policia,null,lamparas 100w,1,null,null,null,null,null,null
07/02/25,colocacion de lampara,jesus fernandez,null,jesus fernandez y sargento cabral,null,lamparas 100w,1,null,null,null,null,null,null
07/02/25,colocacion de lampara,independencia,null,independencia y 20 junio,null,lamparas 100w,1,null,null,null,null,null,null
07/02/25,morseto quemado,null,null,null,bicentenario,null,null,null,null,null,null,null,null
07/02/25,colocacion de lampara,libertad,null,libertad y garcia mendez,bicentenario,lamparas 100w,2,null,null,null,null,null,null
07/02/25,colocacion de lampara,9 de julio,null,al lado del profesorado,null,lamparas 100w,1,null,null,null,null,null,null
07/02/25,colocacion de brazo y lampara,calle publica,null,entre alfonsin y balcarce detras de paul harris,null,lamparas 100w,2,brazo ,1,null,null,null,null
07/02/25,armado de jaula antibandalos,null,null,taller propio,null,null,null,null,null,null,null,null,null
10/02/25,retiro de insumos,san martin,null,municipalidad,centro,lamparas 100w,10,null,null,null,null,null,null
10/02/25,reemplazo de cable,null,null,galpon del ferro,null,lamparas 100w,1,cable combinado,15mt,null,null,null,null
10/02/25,bajada de toma corriente,alfonsin,null,alfonsin y ruta 34,null,null,null,null,null,null,null,null,null
10/02/25,colocacion de lampara,chazarreta,null,entre rivadavia y balcarse,null,lamparas 100w,1,null,null,null,null,null,null
10/02/25,colocacion de lampara,chazarreta,null,entre rivadavia y matienzo,null,lamparas 100w,1,null,null,null,null,null,null
10/02/25,colocacion de lampara,colon,null,entre sarmiento y tucuman,null,lamparas 100w,1,null,null,null,null,null,null
10/02/25,colocacion de lampara,corrientes,null,entre chazarreta y almirante brown,null,lamparas 100w,1,null,null,null,null,null,null
10/02/25,colocacion de lampara,mar argentino,null,entre cordoba y corrientes,2 de abril,lamparas 100w,2,null,null,null,null,null,null
10/02/25,timer corregido de comando,null,null,lado del caballito,null,null,null,null,null,null,null,null,null
10/02/25,timer corregido de comando,,null,en los pinos,los pinos,null,null,null,null,null,null,null,null
10/02/25,timer corregido de comando,cordoba,null,cordoba y 25 de mayo,null,null,null,null,null,null,null,null,null
10/02/25,cambio de fotocelula en comando,null,null,null,belgrano,fotocelula,1,null,null,null,null,null,null
21/04/25,retiro de insumo,san martin,publico,municipalidad,centro,lamparas,10,null,null,null,null,null,null
21/04/25,cambio de tomacorriente,av del agro,publico,av del agro,null,tomacorriente,null,null,null,null,null,null,null
21/04/25,colocacion de fotocelula y cable,los castillos,publico,cementerio,null,fotocelula con base,1,Cable 1.5mm,2,null,null,null,null
21/04/25,bajada a tierra,av san martín ,privado,bajada a tierra de tomas para albañiles,null,null,null,null,null,null,null,null,null
21/04/25,reacomodo de poste y colocacion de antibandalos,null,publico,casa de tuta,malvinas,antibandalo,1,null,null,null,null,null,null
21/04/25,colocacion de lampara,rivadavia,publico,rivadavia y colón,null,lampara 80w,1,null,null,null,null,null,null
21/04/25,colocacion de lampara,remedios de escalada,publico,9 de julio y remedios de escalada,null,lampara 80w,1,null,null,null,null,null,null
21/04/25,cambio de horario de un timer,null,publico,ninguna,null,null,null,null,null,null,null,null,null
21/04/25,cambio de faroles modificados,av alfonsín,publico,ninguna,null,lampara 40w,4,faroles,4,null,null,null,null
