fecha,trabajo_realizado,calle,categoria,referencia,barrio,insumos_1,cantidad_1,fechasarregladas,mes
2025-04-22,colocacion de lampara,cordoba,Instalaciónes Varias,cordoba y heroes de malvinas,desconocido,lampara 80w,2,2025-04-22,2025-04
2025-04-22,colocacion de lampara,colón,Instalaciónes Varias,colon y cordoba,desconocido,lampara 80w,1,2025-04-22,2025-04
2025-04-22,colocacion de lampara,namuncura,Instalaciónes Varias,namuncura y chazarreta,desconocido,lampara 80w,1,2025-04-22,2025-04
2025-04-22,reconexion,mar argentino,Conexión / Reconexion,entre namuncura y corrientes,desconocido,no se usaron insumos,0,2025-04-22,2025-04
2025-04-22,"colocacion de lampara, antibandalo y poda",mar argentino,Instalaciónes Varias,mar argentino y cordoba,desconocido,lampara 80w,1,2025-04-22,2025-04
2025-04-22,colocacion de lampara,belgrano,Instalaciónes Varias,felix gomez y belgrano,desconocido,lampara 80w,1,2025-04-22,2025-04
2025-04-22,retiro de insumo,av san martin,Retiro de insumos varios,municipalidad,centro,lampara 80w,10,2025-04-22,2025-04
2025-04-22,luminaria descompuesta,av san martin,Trabajos generales / Varios,plaza mitre,desconocido,no se usaron insumos,0,2025-04-22,2025-04
2025-04-22,colocacion de lamparas,octavio lascano,Instalaciónes Varias,octavio lascano y araujo,desconocido,lampara 80w,2,2025-04-22,2025-04
2025-04-22,reconexion,corrientes,Conexión / Reconexion,frente de escuela,desconocido,no se usaron insumos,0,2025-04-22,2025-04
2025-04-22,colocacion de lampara,jesús fernandez,Instalaciónes Varias,poso zuni/ibañez,desconocido,lampara 80w,2,2025-04-22,2025-04
2025-04-22,colocacion de lampara,los castillos,Instalaciónes Varias,castillos y jesus fernandez,desconocido,lampara 80w,1,2025-04-22,2025-04
2025-04-22,empalme cable subterraneo,av belgrano,Trabajos generales / Varios,paseo del agro,desconocido,cable,,2025-04-22,2025-04
2025-04-22,trabajo en taller,desconocido,Trabajos generales / Varios,taller,desconocido,no se usaron insumos,0,2025-04-22,2025-04
2025-04-23,retiro de insumo,av san martin,Retiro de insumos varios,municipalidad,centro,lampara 80w,10,2025-04-23,2025-04
2025-04-23,colocacion de lampara,desconocido,Instalaciónes Varias,lado de lomada,cooperativa,lampara 80w,1,2025-04-23,2025-04
2025-04-23,colocacion de lampara,almirante brown,Instalaciónes Varias,flia figueroa,desconocido,lampara 80w,1,2025-04-23,2025-04
2025-04-23,colocacion de lampara,desconocido,Instalaciónes Varias,flia castillo,libertad,lampara 80w,1,2025-04-23,2025-04
2025-04-23,"colocacion de antibandalo, lampara y cable de aluminio",pasaje pereyra,Instalaciónes Varias,extencion,desconocido,lampara 80w,1,2025-04-23,2025-04
2025-04-23,colocacion de lampara,20 de junio,Instalaciónes Varias,20 de junio y pereyra,desconocido,lampara 80w,1,2025-04-23,2025-04
2025-04-23,tutor en poste,desconocido,Trabajos generales / Varios,flia rodiguez,roca,no se usaron insumos,0,2025-04-23,2025-04
2025-04-23,reconexion y colocacion de lampara,santiago del estero,Instalaciónes Varias,santiago del estero y mayulli,desconocido,lampara 80w,1,2025-04-23,2025-04
